Parcours (ID);Parcours (libellé court);Ligne (ID);Ligne (nom court);Point d'arrêt (ID);Point d'arrêt (nom);Ordre;Montée autorisée;Descente autorisée;
0075-B-1511-3401;;75;75;3406;Eclosel;5;true;true;141
0075-B-2619-3401;;75;75;2632;Moulin;3;true;true;98
0075-B-2619-3401;;75;75;3407;Grée Barel;5;true;true;181
0075-B-2619-3401;;75;75;3421;La Porte;8;true;true;486
0075-B-2619-3401;;75;75;3402;Langlois;9;true;true;143
0075-B-2619-3401;;75;75;3401;Parc des Sports;10;true;true;422
0076-A-1566-3851;;76;76;1414;Merlin;4;true;true;221
0076-A-1566-3851;;76;76;3763;Lion d'Or;9;true;true;282
0076-A-1566-3851;;76;76;3851;Mordelles Pâtis;19;true;true;56
0076-B-3851-1566;;76;76;3855;Gretay;5;true;true;469
0076-B-3851-1566;;76;76;2540;Acquêts;7;true;true;193
0076-B-3851-1566;;76;76;1503;Colin;15;true;true;71
0077-A-1214-3617;;77;77;1214;République;1;true;true;241
0077-A-1214-3617;;77;77;3125;Pâtis Roussel;13;true;true;36
0077-A-1214-3617;;77;77;3117;Renan;15;true;true;245
0077-A-1214-3617;;77;77;3124;Chapitre;18;true;true;490
0077-A-1214-3617;;77;77;3611;Le Reuvre;20;true;true;388
0077-A-1214-3617;;77;77;3617;Parthenay Fontaine;25;true;true;467
0077-A-1519-3125;;77;77;3175;Pacé Cimetière;6;true;true;19
0077-A-1519-3125;;77;77;3169;Beausoleil;9;true;true;399
0077-A-1519-3125-3137;;77;77;1519;Villejean-Université;1;true;true;230
0077-A-1519-3125-3137;;77;77;3113;Le Ponant;7;true;true;112
0077-A-1519-3125-3137;;77;77;3173;Teillais;10;true;true;306
0077-A-1519-3125-3137;;77;77;3125;Pâtis Roussel;15;true;true;250
0077-B-3125-1519;;77;77;3170;Beausoleil;4;true;true;20
0077-B-3125-1519;;77;77;3174;Teillais;6;true;true;355
0077-B-3125-1519;;77;77;3110;Carré Dumaine;8;true;true;392
0077-B-3125-1519;;77;77;1517;Berry;10;true;true;376
0077-B-3125-1519-3139;;77;77;3126;Ouessant;2;true;true;418
0077-B-3125-1519-3139;;77;77;3110;Carré Dumaine;8;true;true;13
0077-B-3125-1519-3139;;77;77;3111;Le Ponant;9;true;true;81
0077-B-3125-1519-3139;;77;77;3112;Opéra;10;true;true;386
0078-A-2437-1494;;78;78;2820;Cité des Jardins;11;true;true;183
0078-A-2437-1494;;78;78;2838;Alphasis;13;true;true;310
0078-A-2437-1494;;78;78;2857;Kerguelen;14;true;true;418
0078-A-2437-1494;;78;78;2854;Grand Quartier;19;true;true;120
0078-B-1494-2437;;78;78;2856;Kerguelen;9;true;true;360
0078-B-1494-2437;;78;78;2811;Cité des Jardins;12;true;true;486
0078-B-1494-2437;;78;78;2847;Forge;13;true;true;351
0078-B-1494-2437;;78;78;2832;Holywell;14;true;true;217
0079-A-1456-1534;;79;79;1534;Henri Fréville;3;true;true;117
0079-A-1534-4708;;79;79;3911;Rivaudière;3;true;true;277
0079-A-1534-4708;;79;79;4703;Orée du Bois;10;true;true;454
0079-B-3901-1534;;79;79;1534;Henri Fréville;8;true;true;290
0079-B-4708-1534;;79;79;4708;Gingouillère;1;true;true;20
0079-B-4708-1534;;79;79;3906;Rivaudière;11;true;true;243
0080-B-2368-1534;;80;80;4706;Châtaigneraie;3;true;true;279
0080-B-2368-1534;;80;80;1534;Henri Fréville;8;true;true;448
0080-B-4708-1534;;80;80;4706;Châtaigneraie;2;true;true;491
0080-B-4708-1534;;80;80;4721;Château d'Eau;6;true;true;384
0081-A-1497-4950;;81;81;1521;Berry;3;true;true;256
0081-A-1497-4950;;81;81;3135;Nominoë;4;true;true;224
0081-A-1497-4950;;81;81;3105;Pinault;5;true;true;435
0081-A-1497-4950;;81;81;3711;Vigne;10;true;true;368
